Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1300
Conversion Gain:,2048
Coarse Gain:,4
Fine Gain:,1.26
Upper Discriminator:,1582
Lower Discriminator:,19
Calibration Coefficients:,2.3506120764788457E-5,0.7050701467544402,0.9207478481151286
Calibration Channels:,123,1782,910
Calibration Energies:,88.0,1332.0,662.0
Elapsed Real Time:,532.19
Elapsed Live Time:,443.86
Start Time:,March 12, 2019, 12:03:58
End Time:,March 12, 2019, 12:09:47
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

503,361.51829177417693,4311
504,362.24703258454156,4382
505,362.9758204071476,4338
506,363.7046552419953,4432
507,364.43353708908444,4415
508,365.16246594841516,4352
509,365.8914418199874,4421
510,366.62046470380113,4411
511,367.3495345998564,4333
512,368.07865150815326,4381
513,368.8078154286916,4437
514,369.5370263614715,4286
515,370.2662843064928,4250
516,370.9955892637558,4402
517,371.72494123326027,4319
518,372.45434021500625,4376
519,373.1837862089938,4474
520,373.9132792152228,4337
521,374.64281923369344,4320
522,375.3724062644055,4289
523,376.10204030735923,4406
524,376.8317213625544,4373
525,377.56144942999106,4331
526,378.2912245096693,4293
527,379.02104660158903,4362
528,379.75091570575034,4361
529,380.4808318221532,4347
530,381.2107949507975,4310
531,381.9408050916834,4469
532,382.6708622448108,4345
533,383.40096641017976,4335
534,384.13111758779024,4375
535,384.86131577764223,4273
536,385.59156097973573,4238
537,386.3218531940708,4214
538,387.05219242064743,4266
539,387.7825786594655,4321
540,388.5130119105252,4478
541,389.2434921738263,4486
542,389.97401944936905,4428
543,390.7045937371533,4268
544,391.4352150371791,4396
545,392.16588334944635,4430
546,392.89659867395517,4442
547,393.6273610107055,4417
548,394.3581703596974,4393
549,395.08902672093086,4430
550,395.8199300944058,4400
551,396.5508804801222,4350
552,397.28187787808025,4445
553,398.01292228827975,4382
554,398.7440137107208,4322
555,399.47515214540346,4441
556,400.20633759232754,4455
557,400.9375700514932,4363
558,401.66884952290036,4404
559,402.4001760065491,4525
560,403.1315495024393,4566
561,403.8629700105711,4529
562,404.5944375309444,4593
563,405.3259520635592,4508
564,406.0575136084156,4527
565,406.7891221655135,4531
566,407.52077773485286,4562
